country,life expectancy,percent gdp on health
Australia,82,8.9481
Austria,81.1,10.7769
Belgium,80.5,10.5139
Canada,81,11.1784
Chile,78.3,7.5206
Czech Republic,78,7.5011
Denmark,79.9,10.8671
Estonia,76.3,5.922
Finland,80.6,9.0019
France,82.2,11.6343
Germany,80.8,11.3323
Greece,80.8,9.1296
Hungary,75,7.8877
Iceland,82.4,9.027
Ireland,80.6,8.9042
Israel,81.8,7.7333
Italy,82.7,9.2256
Japan,82.7,9.589
Korea,81.1,7.3692
Luxembourg,81.1,6.6464
Mexico,74.2,6.1782
Netherlands,81.3,11.9369
New Zealand,81.2,10.2844
Norway,81.4,9.2837
Poland,76.9,6.8709
Portugal,80.8,10.2345
Slovak Republic,76.1,7.9416
Slovenia,80.1,8.8501
Spain,82.4,9.2969
Sweden,81.9,9.4661
Switzerland,82.8,11.0148
Turkey,74.6,6.0745
United Kingdom,81.1,9.4184
United States,78.7,17.683
